rmag, phimag, dL, dS
0.00540847723182, -0.364932479961, -0.150290041926+0.180366823975j, -0.149311830453+0.188860367617j
0.00540847723182, -0.333199220834, -0.151760361233+0.182468227383j, -0.13992934342+0.173767736527j
0.00540847723182, -0.301465961707, -0.153246037834+0.184345405322j, -0.129649875499+0.158396953916j
0.00540847723182, -0.26973270258, -0.154713782693+0.185909400545j, -0.11796305102+0.142575674696j
0.00540847723182, -0.237999443453, -0.156181527551+0.187473395768j, -0.10627622654+0.126754395476j
0.00540847723182, -0.206266184326, -0.156502019415+0.189370838497j, -0.0934140829189+0.110292762606j
0.00540847723182, -0.174532925199, -0.156546154889+0.191458583394j, -0.0804697903243+0.093560933212j
0.00540847723182, -0.142799666072, -0.157199753436+0.192409190732j, -0.0660086070185+0.0771478527791j
0.00540847723182, -0.111066406945, -0.158219822283+0.192432700806j, -0.0512315037375+0.0600677374821j
0.00540847723182, -0.0793331478177, -0.15923989113+0.192456210881j, -0.0364544004565+0.042987622185j
0.00540847723182, -0.0475998886906, -0.159801348455+0.192417747578j, -0.0218302984686+0.0258160948386j
0.00540847723182, -0.0158666295635, -0.159857328031+0.192310977741j, -0.00737483321467+0.008543813903j
0.00540847723182, 0.0158666295635, -0.159913307607+0.192204207904j, 0.00708063203927-0.00872846703263j
0.00540847723182, 0.0475998886906, -0.160080526943+0.191938822013j, 0.0223410019436-0.0259083785624j
0.00540847723182, 0.0793331478177, -0.159786052919+0.191958286881j, 0.0373452950167-0.0430750168194j
0.00540847723182, 0.111066406945, -0.159479413709+0.191793842388j, 0.052167372692-0.0602685327493j
0.00540847723182, 0.142799666072, -0.158053153601+0.191684700464j, 0.0658849864376-0.0778119368485j
0.00540847723182, 0.174532925199, -0.156891928059+0.191221647511j, 0.0794703668016-0.0944494627982j
0.00540847723182, 0.206266184326, -0.156665609258+0.18928468764j, 0.0934064102114-0.111085105873j
0.00540847723182, 0.237999443453, -0.15604220387+0.187485816128j, 0.106142943373-0.127161559059j
0.00540847723182, 0.26973270258, -0.155125192023+0.185775151736j, 0.118293140708-0.143419364194j
0.00540847723182, 0.301465961707, -0.153917415683+0.184036133092j, 0.130066096331-0.159515393772j
0.00540847723182, 0.333199220834, -0.15215115709+0.182403639866j, 0.139423176366-0.174726409311j
0.00540847723182, 0.364932479961, -0.150328666655+0.18078785708j, 0.149392537265-0.18983465163j
0.00540847723182, 0.396665739088, -0.148859932537+0.178302251178j, 0.157979486316-0.203385198893j
0.00540847723182, 0.428398998215, -0.14752326133+0.175299043622j, 0.16455298414-0.216781802626j
0.00540847723182, 0.460132257343, -0.14569552312+0.172301449631j, 0.171817181432-0.230017616662j
0.00540847723182, 0.49186551647, -0.143764085749+0.16932844897j, 0.179747467584-0.243014530036j
0.00540847723182, 0.523598775597, -0.141832648379+0.166355448309j, 0.187677753736-0.25601144341j
0.00540847723182, 0.555332034724, -0.139770552329+0.16346323641j, 0.195568059327-0.268667931752j
0.00540847723182, 0.587065293851, -0.137556399373+0.16017305301j, 0.206288260819-0.28830643751j
0.00540847723182, 0.618798552978, -0.135699859527+0.156246802277j, 0.217859392886-0.31428926813j
0.00540847723182, 0.650531812105, -0.133843319681+0.152320551545j, 0.229430524954-0.34027209875j
0.00540847723182, 0.682265071232, -0.131935926603+0.148323721124j, 0.239159460365-0.373650622791j
